Grandeza; Valor; Resolução; Descrição
V   ;150;5;" ""Volume de água no béquer cuja resolução é 5 ml"""
Ma  ;144;1;" ""Massa da água no béquer, medida pela balança"""
Mt  ;300;1;" ""Massa total dos discos"""
Vt  ;35;5;" ""Volume total de água deslocada ao inserir os discos"""
m1  ;50;1;" ""Massa do disco 1 utilizando uma balança digital cuja resolução é 1 g"""
m2  ;50;1;" ""Massa do disco 2 utilizando uma balança digital cuja resolução é 1 g"""
m3  ;50;1;" ""Massa do disco 3 utilizando uma balança digital cuja resolução é 1 g"""
m4  ;50;1;" ""Massa do disco 4 utilizando uma balança digital cuja resolução é 1 g"""
m5  ;50;1;" ""Massa do disco 5 utilizando uma balança digital cuja resolução é 1 g"""
m6;50;1;" ""Massa do disco 6 utilizando uma balança digital cuja resolução é 1 g"""
ma1 ;6;1;" ""Massa do volume de água deslocada com 1 disco"""
ma2 ;12;1;" ""Massa do volume de água deslocada com 2 discos"""
ma3 ;18;1;" ""Massa do volume de água deslocada com 3 discos"""
ma4 ;24;1;" ""Massa do volume de água deslocada com 4 discos"""
ma5 ;30;1;" ""Massa do volume de água deslocada com 5 discos"""
ma6;36;1;" ""Massa do volume de água deslocada com 6 discos"""
d1e ; 35.00  ; 0.05  ;" ""Diâmetro externo do disco 1, com o paquímetro cuja resolução é 0.05 mm"""
d1i ;  3.10; 0.05  ;" ""Diâmetro interno do disco 1, com o paquímetro cuja resolução é 0.05 mm"""
h1  ; 6.50   ; 0.05  ;" ""Altura do disco 1, com o paquímetro cuja resolução é 0.05"""
d2e ; 35.00  ; 0.05  ;" ""Diâmetro externo do disco 2, com o paquímetro cuja resolução é 0.05 mm"""
d2i ;  3.10; 0.05  ;" ""Diâmetro interno do disco 2, com o paquímetro cuja resolução é 0.05 mm"""
h2  ; 6.50   ; 0.05  ;" ""Altura do disco 2, com o paquímetro cuja resolução é 0.05"""
d3e ; 35.00  ; 0.05  ;" ""Diâmetro externo do disco 3, com o paquímetro cuja resolução é 0.05 mm"""
d3i ;  3.10; 0.05  ;" ""Diâmetro interno do disco 3, com o paquímetro cuja resolução é 0.05 mm"""
h3  ; 6.50   ; 0.05  ;" ""Altura do disco 3, com o paquímetro cuja resolução é 0.05"""
d4e ; 35.00  ; 0.05  ;" ""Diâmetro externo do disco 4, com o paquímetro cuja resolução é 0.05 mm"""
d4i ;  3.10; 0.05  ;" ""Diâmetro interno do disco 4, com o paquímetro cuja resolução é 0.05 mm"""
h4  ; 6.50   ; 0.05  ;" ""Altura do disco 4, com o paquímetro cuja resolução é 0.05"""
d5e ; 35.00  ; 0.05  ;" ""Diâmetro externo do disco 5, com o paquímetro cuja resolução é 0.05 mm"""
d5i ;  3.10; 0.05  ;" ""Diâmetro interno do disco 5, com o paquímetro cuja resolução é 0.05 mm"""
h5  ; 6.50   ; 0.05  ;" ""Altura do disco 5, com o paquímetro cuja resolução é 0.05"""
d6e ; 35.00  ; 0.05;" ""Diâmetro externo do disco 6, com o paquímetro cuja resolução é 0.05 mm"""
d6i ;  3.10; 0.05;" ""Diâmetro interno do disco 6, com o paquímetro cuja resolução é 0.05 mm"""
h6; 6.50   ; 0.05;" ""Altura do disco 6, com o paquímetro cuja resolução é 0.05"""
